Article,sentiment,Processed_Article
"At least 13 people are dead and 50 others have been injured after two trains collided in southeast India Sunday, police officials said. A train traveling from Visakhapatnam, in the state of Andhra Pradesh, to Rayagada, in Odisha, had stopped due to a break in an overhead cable when it was hit by an oncoming train, in the Vizianagaram district of Andhra Pradesh, Reuters said, citing a senior railway official. The collision derailed two coaches carrying more than 90 people on the stationary train, the official told Reuters. A preliminary investigation suggests “human error” caused by “overshooting of signal” by the stationary train is what led to the collision, a statement from the country’s railway ministry read. “Out of the 13 people who died, 8 persons have been identified,” M Deepika, superintendent of police for Vizianagaram district, told CNN on Monday. She said railway police would investigate the incident. Sunday’s collision comes just four months after a separate train accident in Odisha, where three trains collided, leaving 275 people dead and more than 1,000 injured. Rescue operations are underway at the accident site, and all of the injured have been moved to hospitals, Railway Minister Ashwini Vaishnaw said on X. The Chief Minister’s Office of Andhra Pradesh said on X it had ordered officials to take quick relief measures to ensure the injured get prompt medical attention and advised nearby districts to send first responders to the scene. The office of Indian Prime Minister Narendra Modi said Sunday he had spoken with Vaishnaw about the accident. “Authorities are providing all possible assistance to those affected,” the post on X read. “The Prime Minister extends condolences to the bereaved families and prays that the injured recover soon.” India’s Minister for Railways Ashwini Vaishnaw on Monday announced compensation of $12,000 for those who have lost a family member, $3,000 for those who suffered grievous injuries and $600 for minor injuries.",negative,least people dead others injured two train collided southeast india sunday police official said train traveling visakhapatnam state andhra pradesh rayagada odisha stopped due break overhead cable hit oncoming train vizianagaram district andhra pradesh reuters said citing senior railway official collision derailed two coach carrying people stationary train official told reuters preliminary investigation suggests human error caused overshooting signal stationary train led collision statement country railway ministry read people died person identified deepika superintendent police vizianagaram district told cnn monday said railway police would investigate incident sunday collision come four month separate train accident odisha three train collided leaving people dead injured rescue operation underway accident site injured moved hospital railway minister ashwini vaishnaw said x chief minister office andhra pradesh said x ordered official take quick relief measure ensure injured get prompt medical attention advised nearby district send first responder scene office indian prime minister narendra modi said sunday spoken vaishnaw accident authority providing possible assistance affected post x read prime minister extends condolence bereaved family prays injured recover soon india minister railway ashwini vaishnaw monday announced compensation lost family member suffered grievous injury minor injury
"One of India’s most revered entrepreneurs believes that young people need to put in exceptionally long hours at work if they want to see the country become a global economic powerhouse. N.R. Narayana Murthy, co-founder of the software behemoth Infosys, said India needs “highly determined, extremely disciplined and extremely hardworking” youngsters, who should put in 70 hours a week at work. “You know, this is exactly what the Germans and Japanese did after the Second World War,” Murthy told Mohandas Pai, the former CFO of Infosys, in a chat published on YouTube Thursday. Murthy, whose wealth is estimated at over $4 billion by Forbes, co-founded Infosys in 1981. It went on to become one of the world’s biggest outsourcing firms. He is also the father-in-law of British Prime Minister Rishi Sunak. “Somehow our youth have the habit of taking not so desirable habits from the West and then not helping the country,” Murthy said. “India’s work productivity is one of the lowest in the world.” He added that Indians should learn from policies that helped other emerging markets, particularly China. The tech tycoon said that corporate leaders in India should motivate young people to “work very hard” by telling them that “for the first time India has received certain respect (globally). This is the time for us to consolidate and accelerate the progress.” India, one of the fastest growing major economies in the world, is projected to expand 6.3% this year, according to the International Monetary Fund. Murthy’s comments on putting in longer hours professionally come at a time when there has been a drastic shift in the way people think about work in the West and in China. For a few years now, many young people in China have embraced a new philosophy they’ve called “lying flat,” to fight against the country’s “996” excessive work culture‚ or the practice of working from 9 a.m. to 9 p.m. six days a week. In the United States, quiet quitting became a workplace trend last year, in which people decided to stop doing work that is beyond what they were hired to do. Murthy’s comments were slammed on social media. Over the past few years, several surveys have shown that Indians feel they are among the most overworked and underpaid people in the world. CNN has reached out to Infosys for comment.",neutral,one india revered entrepreneur belief young people need put exceptionally long hour work want see country become global economic powerhouse nr narayana murthy cofounder software behemoth infosys said india need highly determined extremely disciplined extremely hardworking youngster put hour week work know exactly german japanese second world war murthy told mohandas pai former cfo infosys chat published youtube thursday murthy whose wealth estimated billion forbes cofounded infosys went become one world biggest outsourcing firm also fatherinlaw british prime minister rishi sunak somehow youth habit taking desirable habit west helping country murthy said india work productivity one lowest world added indian learn policy helped emerging market particularly china tech tycoon said corporate leader india motivate young people work hard telling first time india received certain respect globally time u consolidate accelerate progress india one fastest growing major economy world projected expand year according international monetary fund murthys comment putting longer hour professionally come time drastic shift way people think work west china year many young people china embraced new philosophy theyve called lying flat fight country excessive work culture practice working pm six day week united state quiet quitting became workplace trend last year people decided stop work beyond hired murthys comment slammed social medium past year several survey shown indian feel among overworked underpaid people world cnn reached infosys comment
"India’s economy is like an elephant. The world’s most populous nation is hard to get moving, but a force to reckon with once in action, analysts often say. While the global economy has lurched from one crisis to another in recent times, India has shed its lumbering gait and broken into a steady trot. It began the year by strutting its stuff at the World Economic Forum in Switzerland. Emissaries from India had such a dominant presence at the main street in Davos that one investor described the thoroughfare as “Little India.” A few months later, as Prime Minister Narendra Modi inaugurated the Group of 20 (G20) leaders’ summit in New Delhi, a first for India, the country’s stock market zoomed to dizzying heights. The growing economic confidence isn’t limited to earth. In August, India joined the tiny club of countries that have safely placed a spacecraft on the moon, underscoring its scientific and technological ambitions. The euphoria around India comes at a time when China, which has been the engine of global growth for decades, is seeing a major economic slowdown. Its southern neighbor is fast emerging as a potential successor. From a surging young population to humming factories, the country has a lot going in its favor. “The Indian economy is undeniably poised for greatness, with a number of reforms undertaken in past years finally paving the way for solid growth,” said Eswar Prasad, professor of trade policy at Cornell University, adding that “the country is receiving considerable interest from foreign investors for at least some good reasons.” New Delhi also has warmer relations with the West, which views China with growing suspicion, and that means investors now consider the world’s largest democracy a bright spot in an increasingly fractured world. In the past few decades, there have been other periods of global bullishness about India, but the excitement kept fizzling out, while China raced ahead. The gap between the two Asians economies is massive. India’s economy is currently worth nearly $3.5 trillion, making it the world’s fifth largest. China’s economy, the world’s second largest, is bigger by almost $15 trillion. The two combined are expected to contribute about half of global growth this year, the International Monetary Fund has said, with 35% of that coming from China. To overtake China as the biggest contributor to global growth in the next five years, India must achieve a sustained growth rate of 8%, Barclays analysts wrote in an October report. The IMF projects that India will expand at 6.3% this year. China, on the other hand, has set an official growth target of around 5%, as it grapples with mounting challenges, ranging from weak consumer spending to a deepening property crisis. “India’s economy is comfortably placed to grow at an annual rate of at least 6% in the coming few years,” Barclays said. But to achieve the “historically-aspirational” 8% pace of growth, the private sector in India needs to “step up its level of investment,” it added. The Modi government, which aims to make India a $5 trillion economy by 2025, is certainly laying the groundwork to make it easier to do business and attract more companies to invest. Much like China did more than three decades ago, India is beginning a massive infrastructure transformation by spending billions on building roads, ports, airports and railways. In this year’s budget alone, $120 billion was carved out for capital spending to boost economic expansion. The results can be seen on the ground with furious construction underway across the nation. India added 50,000 km (about 31,000 miles) to the national highway network, an increase of 50% in the overall length, between 2014 and 2022. The Modi government has said the daily pace of national highway construction has more than doubled since it first came to power nine years ago. India, which has some of the world’s biggest software companies, has also built a range of digital platforms — known as digital public infrastructure — that have transformed commerce. “Digitization has been a game changer for the country’s citizens and businesses,” said Prasad. “Formalization of the economy has reduced many frictions to doing business and given India’s citizens a sense of being vested in the country’s economic success.” For example, the Aadhaar program, launched in 2009, has changed lives for millions of Indians by providing them with proof of identity for the first time ever. The world’s largest biometric database now covers most of India’s 1.4 billion people and has helped the government save millions by reducing corruption in welfare initiatives. Another platform, the Unified Payments Interface (UPI), allows users to make payments instantly by scanning a QR code. It has been embraced by Indians from all walks of life, from coffee shop owners to beggars, and allowed millions of dollars to flow into the formal economy. In September, Modi, citing a World Bank report, said that thanks to its digital public infrastructure, “India has achieved financial inclusion targets in just 6 years which would otherwise have taken at least 47 long years.” Indian companies are getting in on the act. Some of the country’s biggest conglomerates, including Mukesh Ambani’s Reliance Industries and Gautam Adani’s eponymous group, are spending billions on 5G and clean energy, even though they built their empires on the back of traditional industries such as fossil fuels. India is aggressively trying to capitalize on the massive rethink underway among companies on supply chains. International firms want to diversify their operations away from China, where they faced obstacles during the pandemic and are threatened by rising tension between Beijing and Washington. Asia’s third largest economy has launched a production-linked incentive program worth $26 billion to attract companies to set up manufacturing in 14 sectors, ranging from electronics and automobiles to pharmaceuticals and medical devices. As a result, some of the world’s biggest firms, including Apple supplier Foxconn, are expanding their operations significantly in India. But even as India’s heft is increasing, it is far from recreating the economic miracle China unleashed decades ago. “India is not like China in the late 1990s and early 2000s in that the government is not clearing obstacles to FDI [foreign direct investments] as quickly,” said Willy Shih, a professor at Harvard Business School. “I think the perception is different compared to China in the early 2000s — just more bureaucratic, more unpredictability around non-tariff barriers and things that get in the way.” That unpredictability was on full display in 2016 when Modi suddenly banned most of India’s cash, resulting in long-term pains for citizens and businesses. And, while the country is taking many steps to woo foreign companies, its authorities have cracked down on firms from China. In an October report by HSBC, economists Frederic Neumann and Justin Feng wrote: “India at the moment runs on too few cylinders to take up the slack from China’s sputtering growth engine,” before going on to highlight the differences in consumption and investment in the two economies. China accounts for around 30% of the world investment, while India’s is less than 5%. “Even assuming zero growth in China, and a tripling of investment spending growth in India from its recent average, it would take another 18 years before India’s investment spending catches up to China’s,” they wrote. And it would take another 15 years for India’s consumption to catch up to where China is today in terms of total spending, according to the report. “Now, none of this is to say that India is not going to have an impact. It will, no doubt — though it won’t be enough to shield the world economy should China’s economy stumble badly,” they added.",positive,india economy like elephant world populous nation hard get moving force reckon action analyst often say global economy lurched one crisis another recent time india shed lumbering gait broken steady trot began year strutting stuff world economic forum switzerland emissary india dominant presence main street davos one investor described thoroughfare little india month later prime minister narendra modi inaugurated group g leader summit new delhi first india country stock market zoomed dizzying height growing economic confidence isnt limited earth august india joined tiny club country safely placed spacecraft moon underscoring scientific technological ambition euphoria around india come time china engine global growth decade seeing major economic slowdown southern neighbor fast emerging potential successor surging young population humming factory country lot going favor indian economy undeniably poised greatness number reform undertaken past year finally paving way solid growth said eswar prasad professor trade policy cornell university adding country receiving considerable interest foreign investor least good reason new delhi also warmer relation west view china growing suspicion mean investor consider world largest democracy bright spot increasingly fractured world past decade period global bullishness india excitement kept fizzling china raced ahead gap two asian economy massive india economy currently worth nearly trillion making world fifth largest china economy world second largest bigger almost trillion two combined expected contribute half global growth year international monetary fund said coming china overtake china biggest contributor global growth next five year india must achieve sustained growth rate barclays analyst wrote october report imf project india expand year china hand set official growth target around grapple mounting challenge ranging weak consumer spending deepening property crisis india economy comfortably placed grow annual rate least coming year barclays said achieve historicallyaspirational pace growth private sector india need step level investment added modi government aim make india trillion economy certainly laying groundwork make easier business attract company invest much like china three decade ago india beginning massive infrastructure transformation spending billion building road port airport railway year budget alone billion carved capital spending boost economic expansion result seen ground furious construction underway across nation india added km mile national highway network increase overall length modi government said daily pace national highway construction doubled since first came power nine year ago india world biggest software company also built range digital platform known digital public infrastructure transformed commerce digitization game changer country citizen business said prasad formalization economy reduced many friction business given india citizen sense vested country economic success example aadhaar program launched changed life million indian providing proof identity first time ever world largest biometric database cover india billion people helped government save million reducing corruption welfare initiative another platform unified payment interface upi allows user make payment instantly scanning qr code embraced indian walk life coffee shop owner beggar allowed million dollar flow formal economy september modi citing world bank report said thanks digital public infrastructure india achieved financial inclusion target year would otherwise taken least long year indian company getting act country biggest conglomerate including mukesh ambanis reliance industry gautam adanis eponymous group spending billion g clean energy even though built empire back traditional industry fossil fuel india aggressively trying capitalize massive rethink underway among company supply chain international firm want diversify operation away china faced obstacle pandemic threatened rising tension beijing washington asia third largest economy launched productionlinked incentive program worth billion attract company set manufacturing sector ranging electronics automobile pharmaceutical medical device result world biggest firm including apple supplier foxconn expanding operation significantly india even india heft increasing far recreating economic miracle china unleashed decade ago india like china late early government clearing obstacle fdi foreign direct investment quickly said willy shih professor harvard business school think perception different compared china early bureaucratic unpredictability around nontariff barrier thing get way unpredictability full display modi suddenly banned india cash resulting longterm pain citizen business country taking many step woo foreign company authority cracked firm china october report hsbc economist frederic neumann justin feng wrote india moment run cylinder take slack china sputtering growth engine going highlight difference consumption investment two economy china account around world investment india le even assuming zero growth china tripling investment spending growth india recent average would take another year india investment spending catch china wrote would take another year india consumption catch china today term total spending according report none say india going impact doubt though wont enough shield world economy china economy stumble badly added
"Just a few pieces of debris stood between Munna Qureshi and dozens of laborers who his team had been tasked with rescuing from deep inside a Himalayan tunnel after all previous attempts to free them had failed. “I could hear the laborers gasping on the other side with excitement,” the 29-year-old said. “My heart was racing as I removed the last rock between us.” Qureshi is among 12 specialized workers who were called by Indian authorities to help with last month’s rescue of 41 construction workers trapped in the collapsed tunnel in northern Uttarakhand state. For nearly three weeks the construction workers were cut off from the world, some 60 meters inside the mountain, receiving food and air through a thin tube and frequent updates from rescuers outside. Engineers worked round the clock to drill a safe passage through the broken rock using a state of the art machine, while officials flew in experts to help with rescue efforts. But ultimately, after 17 days, it was Qureshi and his colleagues who succeeded in bringing the men to safety after the drill broke beyond repair just meters from the trapped workers. Known locally as “rat hole miners”, they belong to a niche group of highly skilled, but poorly paid excavators who typically crawl through narrow tunnels to extract coal from deep within the ground. It is a profession so dangerous it has been banned in some parts of the country. But it has been thrust into the spotlight in recent weeks, and the men celebrated as heroes by many across the country. “Rat hole mining may be illegal,” Lt General Syed Ata Hasnain, a retired official from India’s National Disaster Management Authority told reporters shortly after the rescue. “But a rat miner’s talent and experience is not.” Workers employed in the dangerous profession are among the most vulnerable and marginalized in India, hence the unflattering local moniker. Mostly migrants from some of India’s poorest states, they are paid about $5 for a day’s work, according to local reports. Slimly built and nimble, they are expected to enter tiny crevices in mines, often deprived of oxygen and at risk of being buried under loose soil. Most coal mining in India takes place in northeastern Meghalaya state, home to some of the country’s largest coal deposits, amounting to more than 576 million metric tons. Rat hole mining was banned in the state by the National Green Tribunal (NGT) in 2014 due to health and environmental risks, but it’s still carried out illegally in secluded pockets of the region. According to Hasina Kharbhih, the founder of Impulse, a non-profit that advocates for the safety of these workers, an estimated 225 “rat hole miners” died between 2007 and 2014, before the practice was banned. In 2018, four years after the ban was implemented, another 15 died after becoming trapped in an illegal coal mine for two weeks. “This number however is the tip of the iceberg,” Kharbhih said. “I am sure if other regions where this happened were thoroughly researched, these numbers would go up.” Most of the men called to rescue the laborers said they knew the risks when they joined the profession. “I always thought this job would take my life someday,” one of the workers, Nasir Khan, said. “I never thought it would earn me respect.” However, justice B.P. Katoki, a retired judge who was appointed by the tribunal to implement the ban on rat mining, said the country shouldn’t “normalize” such a dangerous profession. “It was a last effort to rescue the lives of 41 people, so an argument can be made that it was necessary,” he told CNN. “But that does not mean one celebrates the practice. That has dangerous implications.” Uttarakhand Chief Minister Pushkar Singh Dhami announced 50,000 rupees ($600) will be handed out among the workers as a token of appreciation. But some of the “rat miners” said they are still waiting for details of the compensation. And despite the media attention, they said they had not been thanked or rewarded by the authorities. Just two hours after the men were rescued, a list of 90 men who took part in the effort was circulated by an Uttarakhand government official on a media WhatsApp group. Conspicuously missing were the names of the 12 “rat miners” who put their lives on the line to complete that final breakthrough. “This does not surprise me,” said Mohammad Irshad Ansari, one of the “rat miner” workers. “A laborer is and will only be seen as a laborer. Whatever we may have done, it does not change that we are poor.” CNN has contacted the Uttarakhand government for comment about the compensation. One of the men, Monu Kumar, said he received a hero’s welcome when he arrived home in northern Uttar Pradesh state. “There was music playing, we were garlanded, and my family and neighbours distributed 30 kilograms worth of sweets to everyone,” he said. “People (in the village) are saying that we did so much, put our life on the line, but we did not get anything in return.” To get to the trapped workers, the “rat miners” had to crawl through an 80-centimeter (2.6 feet) diameter pipe inserted into the debris, crouch for hours in the small space and dig through the final 12 meters (about 40 feet) of rubble with their bare hands. Khan said it was “unlike anything we have ever seen before.” “It was not just debris, stone, or a mountain; there were steel pipes, water, and ropes in there. We used many tools to slowly get them out,” he added. Two “rat miners” went in at a time on rotating four-hour shifts, with one cutting the stone and the other pulling the debris out of the pipe. “It was difficult. It was risky,” said Kumar. “There is no doubt about that.” Ansari wants to keep going to rescue more men should the situation arise, but Khan’s family has urged him to quit his job, saying the risk is not worth the low pay. Despite working for three decades in the industry, he cannot afford to send his three children to school. “This work is also seasonal. We do not have it in summer months as access to oxygen is a problem, and in monsoons as the water makes it unsafe,” he said. “By working for only four months in a year, how can I afford to send my children to school? I did not go to school and nor will they.” Kumar feels the media attention won’t last long. “Soon, these calls will stop coming,” he said. “No one is going to remember us.”",negative,piece debris stood munna qureshi dozen laborer team tasked rescuing deep inside himalayan tunnel previous attempt free failed could hear laborer gasping side excitement yearold said heart racing removed last rock u qureshi among specialized worker called indian authority help last month rescue construction worker trapped collapsed tunnel northern uttarakhand state nearly three week construction worker cut world meter inside mountain receiving food air thin tube frequent update rescuer outside engineer worked round clock drill safe passage broken rock using state art machine official flew expert help rescue effort ultimately day qureshi colleague succeeded bringing men safety drill broke beyond repair meter trapped worker known locally rat hole miner belong niche group highly skilled poorly paid excavator typically crawl narrow tunnel extract coal deep within ground profession dangerous banned part country thrust spotlight recent week men celebrated hero many across country rat hole mining may illegal lt general syed ata hasnain retired official india national disaster management authority told reporter shortly rescue rat miner talent experience worker employed dangerous profession among vulnerable marginalized india hence unflattering local moniker mostly migrant india poorest state paid day work according local report slimly built nimble expected enter tiny crevice mine often deprived oxygen risk buried loose soil coal mining india take place northeastern meghalaya state home country largest coal deposit amounting million metric ton rat hole mining banned state national green tribunal ngt due health environmental risk still carried illegally secluded pocket region according hasina kharbhih founder impulse nonprofit advocate safety worker estimated rat hole miner died practice banned four year ban implemented another died becoming trapped illegal coal mine two week number however tip iceberg kharbhih said sure region happened thoroughly researched number would go men called rescue laborer said knew risk joined profession always thought job would take life someday one worker nasir khan said never thought would earn respect however justice bp katoki retired judge appointed tribunal implement ban rat mining said country shouldnt normalize dangerous profession last effort rescue life people argument made necessary told cnn mean one celebrates practice dangerous implication uttarakhand chief minister pushkar singh dhami announced rupee handed among worker token appreciation rat miner said still waiting detail compensation despite medium attention said thanked rewarded authority two hour men rescued list men took part effort circulated uttarakhand government official medium whatsapp group conspicuously missing name rat miner put life line complete final breakthrough surprise said mohammad irshad ansari one rat miner worker laborer seen laborer whatever may done change poor cnn contacted uttarakhand government comment compensation one men monu kumar said received hero welcome arrived home northern uttar pradesh state music playing garlanded family neighbour distributed kilogram worth sweet everyone said people village saying much put life line get anything return get trapped worker rat miner crawl centimeter foot diameter pipe inserted debris crouch hour small space dig final meter foot rubble bare hand khan said unlike anything ever seen debris stone mountain steel pipe water rope used many tool slowly get added two rat miner went time rotating fourhour shift one cutting stone pulling debris pipe difficult risky said kumar doubt ansari want keep going rescue men situation arise khan family urged quit job saying risk worth low pay despite working three decade industry afford send three child school work also seasonal summer month access oxygen problem monsoon water make unsafe said working four month year afford send child school go school kumar feel medium attention wont last long soon call stop coming said one going remember u
"Over half a century ago, India’s then Prime Minister Indira Gandhi talked about the staggering challenge for developing nations: to industrialize without harming the environment. “On the one hand the rich look askance at our continuing poverty — on the other, they warn us against their own methods,” she told a United Nations event in Stockholm in 1972, the first global conference to make the environment a major issue. “We do not wish to impoverish the environment any further and yet we cannot for a moment forget the grim poverty of large numbers of people,” she added. Her words have never been more relevant. The tension between economic growth and environmental protection is at the heart of global discussions about how to tackle the ever accelerating climate crisis. Addressing the opening session of the COP28 climate talks in Dubai on Friday, India’s current prime minister, Narendra Modi, said all developing countries must be given “a fair share in the global carbon budget” — the amount of planet-warming carbon pollution the world can emit and still avoid climate catastrophe. Even though Earth is now heating up to dangerous levels, many governments around the world persist with viewing coal, oil and gas as sources of economic development, energy security and geopolitical power, the UN said this year. As a result, the world’s fossil fuel production in 2030 is set to be more than twice the amount needed to limit the global temperature rise to 1.5 degrees Celsius above pre-industrial levels, the goal of the Paris climate agreement, a recent UN Environment Programme report found. One of the major contributors to that disastrous overshoot will be India, which is burning ever greater amounts of coal and oil as it tries to meet the needs of its 1.4 billion people. It plans to double domestic coal production by 2030. But even as the world’s most populous nation clings to coal with one hand, there are some signs that it is attempting to chart a more sustainable course with the other. India has made “significant investments and set ambitious targets for renewable energy,” the UNEP report said, noting that the world’s fastest growing major economy has earmarked over $4 billion toward energy transition in this year’s national budget. Other global agencies have also noted India’s growing ambitions in the pursuit of green energy. The Paris-based International Energy Agency said in a report in October that the country was “moving into a dynamic new phase in its energy development marked by a long-term net zero emissions ambition.” In 2021, Modi pledged India would achieve net zero emissions by 2070, which is still a couple of decades later than developed economies. Transforming India’s energy sector, like most things in the country, is going to be chaotic and muddled, but it will have far-reaching implications for the global energy market and the race to limit global warming. “India’s net zero by 2070 target, if met in full and on time along with all respective national targets, will take the world to 1.7 degree Celsius global average surface temperature rise by 2100,” said Siddharth Singh, energy investment analyst at the IEA. Getting there need not come at the cost of growth. Already there are “early signs of a gradually loosening link between economic development and carbon emissions,” said Singh. If the country is able to meet its pledges, its carbon emissions will fall by over 40% by 2050, even as its GDP quadruples over this period, IEA said in its report. India is the world’s third-largest energy consuming country, although its energy use and emissions per person are less than half the world average, IEA data shows. That could change rapidly. Thanks to rising incomes, energy demand has doubled since 2000, with 80% of demand still being met by coal, oil and solid biomass. Over the next three decades, the South Asian nation will see the largest energy demand growth of any country in the world, the IEA said. That superlative isn’t surprising as the country is expected to achieve some impressive economic milestones. The world’s fifth largest economy is comfortably placed to grow at an annual rate of at least 6% in the coming few years, analysts say, and may become only the third country with annual GDP of $10 trillion by 2035. And as it develops and modernizes, its urban population is going to shoot up, leading to a massive rise in the construction of homes, offices, shops and other buildings. “India adds the equivalent of a London to its urban population every year for the next 30 years,” said Singh. The Modi government is also trying to boost domestic manufacturing and that has unleashed a building boom, with everything from roads and bridges to ports and railways springing up around the country. This infrastructure bonanza will lead to a surge in demand for coal and steel, which are huge sources of carbon emissions. Electricity demand is also expected to skyrocket in the coming years because of factors ranging from improved standards of living to climate change. The latter has been fueling deadly heatwaves across India, and as a result, air conditioner ownership is set to see a sharp spike in the coming years. By 2050, India’s total electricity demand from residential air conditioners is set to exceed the total energy consumption in the whole of Africa today, the IEA said this year. Coal accounts for almost 70% of the country’s electricity generation and is not likely to change in the near future. The future role of fossil fuels is one of the most controversial issues nations are grappling with at COP28. While some are pushing for a “phase-out,” others are calling for the weaker language of a “phase-down.” India has said that the former option is not feasible at the moment. “We cannot phase out fossil fuels unless we have nuclear or until [energy] storage becomes viable,” India’s power minister R.K. Singh said last week, just days after he had said that the country won’t be rushed into reducing its use of coal. “We are not going to do this … we are not going to compromise on availability of power for our growth, even if it requires that we add coal-based capacity,” the minister said in November. Still, the fact that India is developing at this point in history gives it a unique opportunity not to repeat the climate sins of wealthier nations. The country was a reluctant signatory to the Paris climate accord in 2015, when more than 190 countries pledged to limit the precipitous rise in global temperatures to well below 2 degrees Celsius above pre-industrial levels, with a preferred goal of 1.5 degrees. Those pledges haven’t yet been delivered. The world is careening toward nearly 3 degrees of global warming, even if current climate policies are met, the United Nations has warned. The Modi government has set ambitious goals. It has promised that renewable energy will fulfil 50% of India’s energy requirements by the end of this decade. The government also set a target of 500 GW of non-fossil fuel electricity generating capacity by that period — up from about 173 GW last year. India has launched an incentive program to boost domestic manufacturing in critical sectors including solar modules and advanced chemistry cell batteries. If the program works, it could see India establish itself as a “reliable exporter” of solar modules, the IEA said in its 2023 report. “The country already has the world’s fourth largest combined capacity for wind and solar PV electricity generation, and will be the third largest by next year,” Singh said. “In the context of its development journey, India’s clean energy targets are indeed impressive.” If Asia’s third largest economy is able to meet its pledges, it would also offer a new roadmap to growth, one that allows developing countries to get rich and go green at the same time. Major conglomerates are keen to seize the green opportunity. India’s richest men, including Mukesh Ambani and Gautam Adani, are investing billions into clean energy, even though they made their empire on the backs of fossil fuels. “There has probably never been a better time than now for India to grow more sustainably,” said Tim Buckley director of Sydney-based think tank Climate Energy Finance. That’s because of two main reasons: the world is seeing unprecedented levels of investment in clean technologies following Russia’s invasion of Ukraine and solar energy is getting significantly cheaper, he explained. But there is still a big funding gap. The IEA has said that energy investments need to nearly triple by the end of this decade for India to be on a trajectory to meet its zero emission targets. The Modi government wants rich nations to do more when it comes to climate financing. The developed world agreed more than a decade ago to transfer at least $100 billion a year to developing countries to help both with their green transitions and efforts to adapt to the climate crisis. That pledge was reaffirmed in the 2015 Paris Agreement, but the target has never been met. In his speech to COP on Friday, Modi warned that “thinking only about one’s self interest will only lead the world into darkness.” Hopefully, that message will be heard by India’s vast bureaucracy as well. “We just need more departmental action and urgency filtering down with respect to the excellent renewables ambition of Modi,” said Buckley. “India needs to make sure there’s an alignment of the implementation so that those really ambitious targets are going to be met”",negative,half century ago india prime minister indira gandhi talked staggering challenge developing nation industrialize without harming environment one hand rich look askance continuing poverty warn u method told united nation event stockholm first global conference make environment major issue wish impoverish environment yet moment forget grim poverty large number people added word never relevant tension economic growth environmental protection heart global discussion tackle ever accelerating climate crisis addressing opening session cop climate talk dubai friday india current prime minister narendra modi said developing country must given fair share global carbon budget amount planetwarming carbon pollution world emit still avoid climate catastrophe even though earth heating dangerous level many government around world persist viewing coal oil gas source economic development energy security geopolitical power un said year result world fossil fuel production set twice amount needed limit global temperature rise degree celsius preindustrial level goal paris climate agreement recent un environment programme report found one major contributor disastrous overshoot india burning ever greater amount coal oil try meet need billion people plan double domestic coal production even world populous nation cling coal one hand sign attempting chart sustainable course india made significant investment set ambitious target renewable energy unep report said noting world fastest growing major economy earmarked billion toward energy transition year national budget global agency also noted india growing ambition pursuit green energy parisbased international energy agency said report october country moving dynamic new phase energy development marked longterm net zero emission ambition modi pledged india would achieve net zero emission still couple decade later developed economy transforming india energy sector like thing country going chaotic muddled farreaching implication global energy market race limit global warming india net zero target met full time along respective national target take world degree celsius global average surface temperature rise said siddharth singh energy investment analyst iea getting need come cost growth already early sign gradually loosening link economic development carbon emission said singh country able meet pledge carbon emission fall even gdp quadruple period iea said report india world thirdlargest energy consuming country although energy use emission per person le half world average iea data show could change rapidly thanks rising income energy demand doubled since demand still met coal oil solid biomass next three decade south asian nation see largest energy demand growth country world iea said superlative isnt surprising country expected achieve impressive economic milestone world fifth largest economy comfortably placed grow annual rate least coming year analyst say may become third country annual gdp trillion develops modernizes urban population going shoot leading massive rise construction home office shop building india add equivalent london urban population every year next year said singh modi government also trying boost domestic manufacturing unleashed building boom everything road bridge port railway springing around country infrastructure bonanza lead surge demand coal steel huge source carbon emission electricity demand also expected skyrocket coming year factor ranging improved standard living climate change latter fueling deadly heatwaves across india result air conditioner ownership set see sharp spike coming year india total electricity demand residential air conditioner set exceed total energy consumption whole africa today iea said year coal account almost country electricity generation likely change near future future role fossil fuel one controversial issue nation grappling cop pushing phaseout others calling weaker language phasedown india said former option feasible moment phase fossil fuel unless nuclear energy storage becomes viable india power minister rk singh said last week day said country wont rushed reducing use coal going going compromise availability power growth even requires add coalbased capacity minister said november still fact india developing point history give unique opportunity repeat climate sin wealthier nation country reluctant signatory paris climate accord country pledged limit precipitous rise global temperature well degree celsius preindustrial level preferred goal degree pledge havent yet delivered world careening toward nearly degree global warming even current climate policy met united nation warned modi government set ambitious goal promised renewable energy fulfil india energy requirement end decade government also set target gw nonfossil fuel electricity generating capacity period gw last year india launched incentive program boost domestic manufacturing critical sector including solar module advanced chemistry cell battery program work could see india establish reliable exporter solar module iea said report country already world fourth largest combined capacity wind solar pv electricity generation third largest next year singh said context development journey india clean energy target indeed impressive asia third largest economy able meet pledge would also offer new roadmap growth one allows developing country get rich go green time major conglomerate keen seize green opportunity india richest men including mukesh ambani gautam adani investing billion clean energy even though made empire back fossil fuel probably never better time india grow sustainably said tim buckley director sydneybased think tank climate energy finance thats two main reason world seeing unprecedented level investment clean technology following russia invasion ukraine solar energy getting significantly cheaper explained still big funding gap iea said energy investment need nearly triple end decade india trajectory meet zero emission target modi government want rich nation come climate financing developed world agreed decade ago transfer least billion year developing country help green transition effort adapt climate crisis pledge reaffirmed paris agreement target never met speech cop friday modi warned thinking one self interest lead world darkness hopefully message heard india vast bureaucracy well need departmental action urgency filtering respect excellent renewables ambition modi said buckley india need make sure there alignment implementation really ambitious target going met
